Grant name	Sponsor org	Link	Award max	RFP	Innovation/execution	Latest preparation start date	App deadline	Partners notes	Match req %	Timeline summary	App process	App package	Extra notes
CONTAMINATED ALASKA NATIVE CLAIMS SETTLEMENT ACT LANDS ASSISTANCE PROGRAM (EPA-OLEM-R10-NC-24-01)	Environmental Protection Agency	https://www.grants.gov/search-results-detail/351547		https://www.grants.gov/search-results-detail/351547			12/31/2025			Open 12/28/2023 → Close 12/31/2025			Status: posted
Continuing Human Enabling Enhancing Restoring and Sustaining (FA238424S2233)	Air Force -- Research Lab	https://www.grants.gov/search-results-detail/360258		https://www.grants.gov/search-results-detail/360258			08/22/2044			Open 08/07/2025 → Close 08/22/2044			Status: posted
Outdoor Recreation Legacy Partnership Program (ORLP) Recurring Notice 5 Year (P25AS00189)	National Park Service	https://www.grants.gov/search-results-detail/357672		https://www.grants.gov/search-results-detail/357672			11/01/2029			Open 12/11/2024 → Close 11/01/2029			Status: posted
Leveling the Field for American Workers in U.S.-Mexico Trade (FOA-ILAB-25-43)	Bureau of International Labor Affairs	https://www.grants.gov/search-results-detail/360092		https://www.grants.gov/search-results-detail/360092			09/26/2025			Open 08/27/2025 → Close 09/26/2025			Status: posted
Securing Fair and Reliable Critical Mineral Supply Chains (FOA-ILAB-25-15)	Bureau of International Labor Affairs	https://www.grants.gov/search-results-detail/360111		https://www.grants.gov/search-results-detail/360111			09/26/2025			Open 08/27/2025 → Close 09/26/2025			Status: posted
Revitalizing Domestic Manufacturing by Developing the Next Generation of America&rsquo;s Shipbuilders through International Partnerships (FOA-ILAB-25-45)	Bureau of International Labor Affairs	https://www.grants.gov/search-results-detail/360093		https://www.grants.gov/search-results-detail/360093			09/26/2025			Open 08/27/2025 → Close 09/26/2025			Status: posted
Staff Research Program (W911NF25S0007)	Dept of the Army -- Materiel Command	https://www.grants.gov/search-results-detail/359236		https://www.grants.gov/search-results-detail/359236			06/02/2030			Open 06/03/2025 → Close 06/02/2030			Status: posted
Tribal Injury Prevention Cooperative Agreement Program (HHS-2026-IHS-IPP-0001)	Indian Health Service	https://www.grants.gov/search-results-detail/360077		https://www.grants.gov/search-results-detail/360077			11/13/2025			Open 07/21/2025 → Close 11/13/2025			Status: posted
Defense Sciences Office (DSO) Office-wide BAA (HR001125S0013)	DARPA - Defense Sciences Office	https://www.grants.gov/search-results-detail/359239		https://www.grants.gov/search-results-detail/359239			06/02/2026			Open 06/03/2025 → Close 06/02/2026			Status: posted
Public Health Crisis Response Cooperative Agreement (CDC-RFA-TP22-2201)	Centers for Disease Control - OPHPR	https://www.grants.gov/search-results-detail/337086		https://www.grants.gov/search-results-detail/337086			02/11/2027			Open 01/13/2022 → Close 02/11/2027			Status: posted
Health Home for Individuals with Chronic Conditions (CMS-2J2-23-001)	Centers for Medicare & Medicaid Services	https://www.grants.gov/search-results-detail/343827		https://www.grants.gov/search-results-detail/343827			10/01/2025			Open 09/30/2022 → Close 10/01/2025			Status: posted
Boosting Innovative GEOINT - Science &amp; Technology  Broad Agency Announcement (BIG-ST BAA) (HM047623BAA0001)	National Geospatial-Intelligence Agency 	https://www.grants.gov/search-results-detail/351404		https://www.grants.gov/search-results-detail/351404			12/14/2026			Open 12/15/2023 → Close 12/14/2026			Status: posted
Jobs Plus NOFO for Fiscal Year 2025 (FR-6900-N-14)	Department of Housing and Urban Development	https://www.grants.gov/search-results-detail/360278		https://www.grants.gov/search-results-detail/360278			10/27/2025			Open 08/12/2025 → Close 10/27/2025			Status: posted
FY 2023 EDA Public Works and Economic Adjustment Assistance Programs (PWEAA2023)	Economic Development Administration	https://www.grants.gov/search-results-detail/346815		https://www.grants.gov/search-results-detail/346815						Open 03/14/2023 → Close 			Status: posted
Health Home for Children with Medically Complex Conditions (CMS-3J3-23-001)	Centers for Medicare & Medicaid Services	https://www.grants.gov/search-results-detail/343826		https://www.grants.gov/search-results-detail/343826			10/01/2025			Open 09/30/2022 → Close 10/01/2025			Status: posted
Department of Defense Research and Education Program for Historically Black Colleges and Universities and Minority-Serving Institutions (HBCU/MI) (W911NF24S0009)	Dept of the Army -- Materiel Command	https://www.grants.gov/search-results-detail/355730		https://www.grants.gov/search-results-detail/355730			07/31/2029			Open 08/01/2024 → Close 07/31/2029			Status: posted
FY 2023 Disaster Supplemental (EDA-DISASTER-2023)	Economic Development Administration	https://www.grants.gov/search-results-detail/347414		https://www.grants.gov/search-results-detail/347414						Open 04/24/2023 → Close 			Status: posted
Somalia Operational Mentorship and Sustainment Capacity Building (DFOP0017536)	Bureau of Political-Military Affairs - WRA	https://www.grants.gov/search-results-detail/360248		https://www.grants.gov/search-results-detail/360248			09/03/2025			Open 08/06/2025 → Close 09/03/2025			Status: posted
Sustainable Range Study Richardson Training Area, Fort Wainwright and Donnelly Training Area, Alaska (SOW 25-101) (W911KB-25-2-0010)	Alaska District	https://www.grants.gov/search-results-detail/359983		https://www.grants.gov/search-results-detail/359983			09/08/2025			Open 07/10/2025 → Close 09/08/2025			Status: posted
Defense Production Act Title III Expansion of Domestic Production Capability and Capacity (FA8650-19-S-5010)	Air Force -- Research Lab	https://www.grants.gov/search-results-detail/318351		https://www.grants.gov/search-results-detail/318351			07/12/2026			Open 07/12/2019 → Close 07/12/2026			Status: posted
Biological Technologies (HR001124S0034)	DARPA - Biological Technologies Office	https://www.grants.gov/search-results-detail/356403		https://www.grants.gov/search-results-detail/356403			09/10/2025			Open 09/11/2024 → Close 09/10/2025			Status: posted
Collaboration for Innovative Research on Aircraft Structure (CIRAS) (FA865021S2205)	Air Force -- Research Lab	https://www.grants.gov/search-results-detail/333471		https://www.grants.gov/search-results-detail/333471			05/11/2026			Open 05/11/2021 → Close 05/11/2026			Status: posted
Microsystems Technology Office (MTO) Office-wide (HR001124S0028)	DARPA - Microsystems Technology Office 	https://www.grants.gov/search-results-detail/354134		https://www.grants.gov/search-results-detail/354134			10/09/2025			Open 05/09/2024 → Close 10/09/2025			Status: posted
Pioneering Aerospace Capabilities, Engineering and Research (PACER) (FA2391-23-S-2403)	Air Force -- Research Lab	https://www.grants.gov/search-results-detail/349554		https://www.grants.gov/search-results-detail/349554			05/10/2043			Open 07/26/2023 → Close 05/10/2043			Status: posted
BROAD AGENCY ANNOUNCEMENT (BAA) for Extramural Biomedical and Human Performance Research and Development Department of Defense (HT9425-23-S-SOC1)	Dept. of the Army -- USAMRAA	https://www.grants.gov/search-results-detail/349586		https://www.grants.gov/search-results-detail/349586			07/31/2028			Open 07/27/2023 → Close 07/31/2028			Status: posted
