 bGrant name,Sponsor org,Link,Award max,RFP,Innovation/execution,Latest preparation start date,App deadline,Partners notes,Match req %,Timeline summary,App process,App package,Extra notes
RFI - DOE Infrastructure Work Scope Development (DE-SOL-0008318),Idaho Field Office,https://www.grants.gov/search-results-detail/280970,,https://www.grants.gov/search-results-detail/280970,,,,,,Open 01/14/2016 → Close ,,,Status: posted
MAGNETIC ACCELERATION GENERATING NEW INNOVATIONS AND TACTICAL OUTCOMES SBIR/STTR (MAGNITO SBIR/STTR) (DE-FOA-0003591),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360356,,https://www.grants.gov/search-results-detail/360356,,,09/24/2025,,,Open 08/25/2025 → Close 09/24/2025,,,Status: posted
UNITED STATES MILITARY ACADEMY Broad Agency Announcement (W911NF-20-S-0008),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/325932,,https://www.grants.gov/search-results-detail/325932,,,03/31/2027,,,Open 04/01/2020 → Close 03/31/2027,,,Status: posted
Long Range Broad Agency Announcement (BAA) for NSWC Crane (N0016424SNB35),NSWC CRANE - N00164,https://www.grants.gov/search-results-detail/352238,,https://www.grants.gov/search-results-detail/352238,,,,,,Open 02/08/2024 → Close ,,,Status: posted
Climate Hackathon in Northern Japan (SAPPORO-PAS-FY22-01-02),U.S. Mission to Japan,https://www.grants.gov/search-results-detail/338143,,https://www.grants.gov/search-results-detail/338143,,,,,,Open 02/18/2022 → Close ,,,Status: forecasted
Democracy Commission Program Round 2 FY2023 (TIRDEMCOMMR2FY23),U.S. Mission to Albania,https://www.grants.gov/search-results-detail/347569,,https://www.grants.gov/search-results-detail/347569,,,,,,Open 04/18/2023 → Close ,,,Status: forecasted
Embassy Belgrade PAS - University Partnership (SRB10020FO006),U.S. Mission to Serbia,https://www.grants.gov/search-results-detail/327658,,https://www.grants.gov/search-results-detail/327658,,,,,,Open 06/12/2020 → Close ,,,Status: forecasted
Alumni Engagement Innovation Fund Program FY 2025 (SMK800-25-PAS001),U.S. Mission to North Macedonia,https://www.grants.gov/search-results-detail/358681,,https://www.grants.gov/search-results-detail/358681,,,,,,Open 04/16/2025 → Close ,,,Status: forecasted
CHEERS Open Period 2 - All Technical Areas (FA238424S2335),Air Force -- Research Lab,https://www.grants.gov/search-results-detail/360262,,https://www.grants.gov/search-results-detail/360262,,,09/30/2027,,,Open 08/07/2025 → Close 09/30/2027,,,Status: posted
Developing Country Collaborations in Plant Genome Research (DCC-PGR)  (04-563),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/45657,,https://www.grants.gov/search-results-detail/45657,,,,,,Open 03/22/2004 → Close ,,,Status: posted
Operations Engineering (PD-19-006Y),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/306167,,https://www.grants.gov/search-results-detail/306167,,,,,,Open 06/12/2018 → Close ,,,Status: posted
Engineering for Civil Infrastructure (PD-19-073Y),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/306169,,https://www.grants.gov/search-results-detail/306169,,,,,,Open 06/12/2018 → Close ,,,Status: posted
"Solar, Heliospheric, and INterplanetary Environment (22-570)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/337985,,https://www.grants.gov/search-results-detail/337985,,,10/07/2025,,,Open 02/11/2022 → Close 10/07/2025,,,Status: posted
Public Affairs Section Notice of Funding Opportunity 2020 (PAS-SCB-600-20-PAS-0001),U.S. Mission to Cambodia,https://www.grants.gov/search-results-detail/322667,,https://www.grants.gov/search-results-detail/322667,,,,,,Open 11/23/2019 → Close ,,,Status: forecasted
MISSION ITALY ANNUAL PROGRAM STATEMENT 2023 (2301),U.S. Mission to Italy,https://www.grants.gov/search-results-detail/345914,,https://www.grants.gov/search-results-detail/345914,,,,,,Open 02/09/2023 → Close ,,,Status: forecasted
U.S. Embassy Phnom Penh &ndash; PAS Annual Program Statement (PAS-CB600-23-0002),U.S. Mission to Cambodia,https://www.grants.gov/search-results-detail/348863,,https://www.grants.gov/search-results-detail/348863,,,,,,Open 06/22/2023 → Close ,,,Status: forecasted
Plasma Physics (PD-23-1242),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/350018,,https://www.grants.gov/search-results-detail/350018,,,11/17/2025,,,Open 08/29/2023 → Close 11/17/2025,,,Status: posted
