Grant name	Sponsor org	Link	Award max	RFP	Innovation/execution	Latest preparation start date	App deadline	Partners notes	Match req %	Timeline summary	App process	App package	Extra notes
SEEDING CRITICAL ADVANCES FOR LEADING ENERGY TECHNOLOGIES WITH UNTAPPED POTENTIAL (SCALEUP) READY (DE-FOA-0003467)	Advanced Research Projects Agency Energy 	https://www.grants.gov/search-results-detail/356623		https://www.grants.gov/search-results-detail/356623			09/29/2029			Open 10/02/2024 → Close 09/29/2029			Status: posted
Magnetic Acceleration Generating New Innovations and Tactical Outcomes (MAGNITO) (DE-FOA-0003590)	Advanced Research Projects Agency Energy 	https://www.grants.gov/search-results-detail/360355		https://www.grants.gov/search-results-detail/360355			09/24/2025			Open 08/25/2025 → Close 09/24/2025			Status: posted
Reliable Ore Characterization with Keystone Sensing SBIR/STTR (ROCKS SBIR/STTR) (DE-FOA-0003593)	Advanced Research Projects Agency Energy 	https://www.grants.gov/search-results-detail/360354		https://www.grants.gov/search-results-detail/360354			09/25/2025			Open 08/25/2025 → Close 09/25/2025			Status: posted
Reliable Ore Characterization with Keystone Sensing (ROCKS) (DE-FOA-0003592)	Advanced Research Projects Agency Energy 	https://www.grants.gov/search-results-detail/360353		https://www.grants.gov/search-results-detail/360353			09/25/2025			Open 08/25/2025 → Close 09/25/2025			Status: posted
FY 2023 Disaster Supplemental (EDA-DISASTER-2023)	Economic Development Administration	https://www.grants.gov/search-results-detail/347414		https://www.grants.gov/search-results-detail/347414						Open 04/24/2023 → Close 			Status: posted
FY 2023 EDA Public Works and Economic Adjustment Assistance Programs (PWEAA2023)	Economic Development Administration	https://www.grants.gov/search-results-detail/346815		https://www.grants.gov/search-results-detail/346815						Open 03/14/2023 → Close 			Status: posted
EDA FY25 Disaster Supplemental (EDA-DISASTER-2025)	Economic Development Administration	https://www.grants.gov/search-results-detail/359225		https://www.grants.gov/search-results-detail/359225						Open 06/04/2025 → Close 			Status: posted
MAGNETIC ACCELERATION GENERATING NEW INNOVATIONS AND TACTICAL OUTCOMES SBIR/STTR (MAGNITO SBIR/STTR) (DE-FOA-0003591)	Advanced Research Projects Agency Energy 	https://www.grants.gov/search-results-detail/360356		https://www.grants.gov/search-results-detail/360356			09/24/2025			Open 08/25/2025 → Close 09/24/2025			Status: posted
