Name,Sponsor,Source URL,Deadline / Next Cohort,Cadence,Benefits,Eligibility (key conditions),Region / Eligibility,Stage,Type,Non-dilutive?,Stack Required?,Relevance,Fit,Ease,Weighted Score,Notes / Actions
Commercial Fishing Occupational Safety Research Cooperative Agreement (U01),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/334971,01/31/2028,,,,,,,Yes,No,0,0,0,0,
Embassy Belgrade PAS - University Partnership,U.S. Mission to Serbia,https://www.grants.gov/search-results-detail/327658,,Forecasted,,,,,,Yes,No,0,0,0,0,
WATER RESOURCES RESEARCH ACT PROGRAM NATIONAL COMPETITIVE GRANTS FY2025 (104g General),Geological Survey,https://www.grants.gov/search-results-detail/360311,09/30/2025,,,,,,,Yes,No,0,0,0,0,
FY 2023 Disaster Supplemental,Economic Development Administration,https://www.grants.gov/search-results-detail/347414,,,,,,,,Yes,No,0,0,0,0,
FY2025 ABPP - Battlefield Interpretation Grant,National Park Service,https://www.grants.gov/search-results-detail/360361,11/25/2025,,,,,,,Yes,No,0,0,0,0,
MINE HEALTH AND SAFETY STATE GRANTS,Mine Safety and Health Administration,https://www.grants.gov/search-results-detail/360276,09/09/2025,,,,,,,Yes,No,0,0,0,0,
State Veterans Home Construction Grant Program,Construction of State Home Facilities,https://www.grants.gov/search-results-detail/58617,,,,,,,,Yes,No,0,0,0,0,
Residential (Long Term Foster Care) Services for Unaccompanied Children,Administration for Children and Families - ORR,https://www.grants.gov/search-results-detail/340671,,Forecasted,,,,,,Yes,No,0,0,0,0,
Rare Diseases Clinical Research Consortia (RDCRC) for the Rare Diseases Clinical Research Network (RDCRN) (U54 Clinical Trial Optional),National Institutes of Health,https://www.grants.gov/search-results-detail/358818,10/16/2025,,,,,,,Yes,No,0,0,0,0,
2022 Alumni Engagement Innovation Fund (AEIF 2022),U.S. Mission to North Macedonia,https://www.grants.gov/search-results-detail/337347,,Forecasted,,,,,,Yes,No,0,0,0,0,
Disaster Assistance for State Units on Aging (SUAs) and Tribal Organizations in Major Disasters Declared by the President,Administration for Community Living,https://www.grants.gov/search-results-detail/355884,09/02/2025,,,,,,,Yes,No,0,0,0,0,
National Center for Construction Safety and Health Research and Translation (U54),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/345738,12/01/2026,,,,,,,Yes,No,0,0,0,0,
Updated National Dislocated Worker Grant Program Guidance and Application Information,Employment and Training Administration,https://www.grants.gov/search-results-detail/357771,12/31/2026,,,,,,,Yes,No,0,0,0,0,
Notice of Intent:  Program to End Modern Slavery FY 2025,Office to Monitor-Combat Trafficking in Persons,https://www.grants.gov/search-results-detail/358289,01/01/2099,,,,,,,Yes,No,0,0,0,0,
Leading Edge Acceleration Projects (LEAP) in Health Information Technology,Office of the National Coordinator,https://www.grants.gov/search-results-detail/341131,09/30/2027,,,,,,,Yes,No,0,0,0,0,
Long Range Broad Agency Announcement (BAA) for NSWC Crane,NSWC CRANE - N00164,https://www.grants.gov/search-results-detail/352238,,,,,,,,Yes,No,0,0,0,0,
Port Infrastructure Development Program,Maritime Administration,https://www.grants.gov/search-results-detail/358404,09/10/2025,,,,,,,Yes,No,0,0,0,0,
FY26 BROWNFIELDS JOB TRAINING (JT) GRANTS,Environmental Protection Agency,https://www.grants.gov/search-results-detail/358898,09/26/2025,,,,,,,Yes,No,0,0,0,0,
FY25 Long Range Broad Agency Announcement (BAA) for Navy and Marine Corps Science and Technology,Office of Naval Research,https://www.grants.gov/search-results-detail/356605,09/30/2025,,,,,,,Yes,No,0,0,0,0,
NSWC Dahlgren BAA N00178-25-0002,NSWC Dahlgren,https://www.grants.gov/search-results-detail/356715,10/14/2025,,,,,,,Yes,No,0,0,0,0,
"Pioneering Aerospace Capabilities, Engineering and Research (PACER)",Air Force -- Research Lab,https://www.grants.gov/search-results-detail/349554,05/10/2043,,,,,,,Yes,No,0,0,0,0,
Defense Production Act Title III Expansion of Domestic Production Capability and Capacity,Air Force -- Research Lab,https://www.grants.gov/search-results-detail/318351,07/12/2026,,,,,,,Yes,No,0,0,0,0,
"Residential (Group Home, Shelter, Transitional Foster Care) Services for Unaccompanied Alien Children",Administration for Children and Families - ORR,https://www.grants.gov/search-results-detail/357220,10/14/2025,,,,,,,Yes,No,0,0,0,0,
Research and Development (RAD) Directed Energy (RD) University Assistance Instruments,Air Force -- Research Lab,https://www.grants.gov/search-results-detail/355499,07/18/2029,,,,,,,Yes,No,0,0,0,0,
NRL Long Range Broad Agency Announcement (BAA) for Basic and Applied Research,Naval Research Laboratory,https://www.grants.gov/search-results-detail/352741,09/30/2025,,,,,,,Yes,No,0,0,0,0,
Partnerships with MCC Program,Millennium Challenge Corporation,https://www.grants.gov/search-results-detail/314279,03/31/2027,,,,,,,Yes,No,0,0,0,0,
Boosting Innovative GEOINT - Science &amp; Technology  Broad Agency Announcement (BIG-ST BAA),National Geospatial-Intelligence Agency,https://www.grants.gov/search-results-detail/351404,12/14/2026,,,,,,,Yes,No,0,0,0,0,
